Ad Account ID,Ad Account Name,Reporting starts,Reporting ends,Ad name,Region,Ad delivery,Ad Set Name,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Results,Result indicator,Reach,Impressions,Cost per results,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (MXN),Ends,Result rate,Frequency,Link clicks,Unique link clicks,Clicks (all),Landing page views,Purchases,Mobile app purchases,Website purchases,Meta Purchases,Purchases conversion value,Mobile app purchases conversion value,Website purchases conversion value,Meta Purchase Conversion Value,Campaign ID,Page engagement,Post engagement,Post reactions,Post comments,CPC (cost per link click) (MXN),Page likes,CTR (all)
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Durango,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,880,1103,,-,-,-,8.37,En curso,,1.253409,21,20,22,,,,,,,,,,23851903914600173,23,23,1,,0.398571,,1.99456
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Guanajuato,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2576,2999,,-,-,-,19.96,En curso,,1.164208,49,46,53,,,,,,,,,,23851903914600173,51,51,2,,0.407347,,1.767256
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Guerrero,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2112,2529,,-,-,-,16.62,En curso,,1.197443,41,39,46,,,,,,,,,,23851903914600173,42,42,1,,0.405366,,1.818901
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Hidalgo,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,1840,2253,,-,-,-,17.25,En curso,,1.224457,44,39,52,,,,,,,,,,23851903914600173,44,44,,,0.392045,,2.308034
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Jalisco,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,3712,4058,,-,-,-,26.78,En curso,,1.093211,66,55,74,,,,,,,,,,23851903914600173,68,68,1,1,0.405758,,1.823558
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,State of Mexico,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,5600,7051,,-,-,-,58.8,En curso,,1.259107,149,125,173,,,,,,,,,,23851903914600173,154,154,5,,0.394631,,2.453553
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Michoacán de Ocampo,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2720,3157,,-,-,-,19.56,En curso,,1.160662,52,47,53,,,,,,,,,,23851903914600173,52,52,,,0.376154,,1.678809
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Morelos,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,1040,1122,,-,-,-,9.48,En curso,,1.078846,26,23,26,,,,,,,,,,23851903914600173,26,26,,,0.364615,,2.317291
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Nayarit,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,768,925,,-,-,-,5.76,En curso,,1.204427,14,13,18,,,,,,,,,,23851903914600173,14,14,,,0.411429,,1.945946
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Nuevo León,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2624,3542,,-,-,-,20.84,En curso,,1.349848,55,48,63,,,,,,,,,,23851903914600173,55,55,,,0.378909,,1.778656
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Oaxaca,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2528,3051,,-,-,-,18.7,En curso,,1.206883,46,44,53,,,,,,,,,,23851903914600173,47,47,1,,0.406522,,1.737135
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Puebla,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2656,3145,,-,-,-,24.2,En curso,,1.184111,64,50,67,,,,,,,,,,23851903914600173,64,64,,,0.378125,,2.130366
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Querétaro Arteaga,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,944,1155,,-,-,-,9.35,En curso,,1.223517,23,22,26,,,,,,,,,,23851903914600173,24,24,1,,0.406522,,2.251082
